bakken	 bakte	 bakten	 gebakken (heb)
bederven	 bedierf	 bedierven	 bedorven (heb/ben)
bedriegen	 bedroog	 bedrogen	 bedrogen (heb)
beginnen	 begon	 begonnen	 begonnen (ben)
begrijpen 	 begreep	 begrepen	 begrepen (heb)
bevallen	 beviel	 bevielen	 bevallen (ben)
bewegen	 bewoog	 bewogen	 bewogen (heb)
bezoeken	 bezocht	 bezochten	 bezocht (heb)
bidden	 bad	 baden	 gebeden (heb)
bieden	 bood	 boden	 geboden (heb)
bijten	 beet	 beten	 gebeten (heb)
binden	 bond	 bonden	 gebonden (heb)
blazen	 blies	 bliezen	 geblazen (heb)
blijken	 bleek	 bleken	 gebleken (ben)
blijven	 bleef	 bleven	 gebleven (ben)
braden	 braadde	 braadden	 gebraden (heb)
breken	 brak	 braken	 gebroken (heb)
brengen	 bracht	 brachten	 gebracht (heb)
buigen	 boog	 bogen	 gebogen (heb)
denken	 dacht	 dachten	 gedacht (heb)
doen	 deed	 deden	 gedaan (heb)
dragen	 droeg	 droegen	 gedragen (heb)
drijven	 dreef	 dreven	 gedreven (ben/heb)
drinken	 dronk	 dronken	 gedronken (heb)
duiken	 dook	 doken	 gedoken (ben/heb)
dwingen	 dwong	 dwongen	 gedwongen (heb)
ervaren	 ervoer	 ervoeren	 ervaren (heb)
eten	 at	 aten	 gegeten (heb)
fluiten	 floot	 floten	 gefloten (heb)
gaan	 ging	 gingen	 gegaan (ben)
genezen	 genas	 genazen	 genezen (ben/heb)
genieten	 genoot	 genoten	 genoten (heb)
geven	 gaf	 gaven	 gegeven (heb)
gieten	 goot	 goten	 gegoten (heb)
glijden	 gleed	 gleden	 gegleden (ben/heb)
glimmen	 glom	 glommen	 geglommen (heb)
graven	 groef	 groeven	 gegraven (heb)
hangen	 hing	 hingen	 gehangen (heb)
hebben	 had	 hadden	 gehad (heb)
helpen	 hielp	 hielpen	 geholpen (heb)
heten	 heette	 heetten	 geheten (heb)
houden	 hield	 hielden	 gehouden (heb)
kiezen	 koos	 kozen	 gekozen (heb)
kijken	 keek	 keken	 gekeken (heb)
klimmen	 klom	 klommen	 geklommen (ben/heb)
klinken	 klonk	 klonken	 geklonken (heb)
knijpen	 kneep	 knepen	 geknepen (heb)
komen	 kwam	 kwamen	 gekomen (ben)
kopen	 kocht	 kochten	 gekocht (heb)
krijgen	 kreeg	 kregen	 gekregen (heb)
krimpen	 kromp	 krompen	 gekrompen (ben/heb)
kruipen	 kroop	 kropen	 gekropen (ben/heb)
kunnen	 kon	 konden	 gekund (heb)
lachen	 lachte	 lachten	 gelachen (heb)
laden	 laadde	 laadden	 geladen (heb)
laten	 liet	 lieten	 gelaten (heb)
lezen	 las	 lazen	 gelezen (heb)
liegen	 loog	 logen	 gelogen (heb)
liggen	 lag	 lagen	 gelegen (heb)
lijden	 leed	 leden	 geleden (heb)
lijken	 leek	 leken	 geleken (heb)
